NAME;ATOMIC_WEIGHT;ATOMIC_NUMBER;OXIDATION_STATES;BOILING_POINT/_UNITS;BOILING_POINT/__text;SYMBOL;DENSITY/_UNITS;DENSITY/__text;ELECTRON_CONFIGURATION;ELECTRONEGATIVITY;ATOMIC_RADIUS/_UNITS;ATOMIC_RADIUS/__text;ATOMIC_VOLUME/_UNITS;ATOMIC_VOLUME/__text;SPECIFIC_HEAT_CAPACITY/_UNITS;SPECIFIC_HEAT_CAPACITY/__text;IONIZATION_POTENTIAL;THERMAL_CONDUCTIVITY/_UNITS;THERMAL_CONDUCTIVITY/__text;MELTING_POINT/_UNITS;MELTING_POINT/__text;COVALENT_RADIUS/_UNITS;COVALENT_RADIUS/__text;HEAT_OF_VAPORIZATION/_UNITS;HEAT_OF_VAPORIZATION/__text;HEAT_OF_FUSION/_UNITS;HEAT_OF_FUSION/__text;_STATE
Actinium;227;89;3;Kelvin;3470;Ac;grams/cubic centimeter;10.07;[Rn] 6d1 7s2;1.1;Angstroms;1.88;cubic centimeters/mole;22.5;Joules/gram/degree Kelvin;0.12;5.17;Watts/meter/degree Kelvin;12;;;;;;;;;
Aluminum;26.98154;13;3;Kelvin;2740;Al;grams/cubic centimeter;2.7;[Ne] 3s2 p1;1.61;Angstroms;1.43;cubic centimeters/mole;10;Joules/gram/degree Kelvin;0.9;5.986;Watts/meter/degree Kelvin;237;Kelvin;933.5;Angstroms;1.18;kilojoules/mole;290.8;kilojoules/mole;10.7;
Americium;243;95;6, 5, 4, 3;Kelvin;2880;Am;grams/cubic centimeter;13.7;[Rn] 5f7 7s2;1.3;Angstroms;1.84;cubic centimeters/mole;20.8;;;6;Watts/meter/degree Kelvin;10;Kelvin;1449;;;;;;;
Antimony;121.757;51;+/-3, 5;Kelvin;1860;Sb;grams/cubic centimeter;6.69;[Kr] 4d10 5s2 p3;2.05;Angstroms;1.59;cubic centimeters/mole;18.4;Joules/gram/degree Kelvin;0.207;8.641;Watts/meter/degree Kelvin;24.3;Kelvin;903.91;Angstroms;1.4;kilojoules/mole;67.97;kilojoules/mole;19.83;
Argon;39.948;18;;Kelvin;87.45;Ar;grams/cubic centimeter;1.784;[Ne] 3s2 p6;0;Angstroms;0.88;cubic centimeters/mole;24.2;Joules/gram/degree Kelvin;0.52;15.759;Watts/meter/degree Kelvin;0.0177;Kelvin;83.95;Angstroms;0.98;kilojoules/mole;6.506;kilojoules/mole;1.188;GAS
Arsenic;74.9216;33;+/-3, 5;Kelvin;876;As;grams/cubic centimeter;5.78;[Ar] 3d10 4s2 p3;2.18;Angstroms;1.39;cubic centimeters/mole;13.1;Joules/gram/degree Kelvin;0.33;9.81;Watts/meter/degree Kelvin;50;Kelvin;1090;Angstroms;1.2;kilojoules/mole;32.4;kilojoules/mole;27.7;
Astatine;210;85;+/-1, 3, 5, 7;Kelvin;610;At;;;[Xe] 4f14 5d10 6s2 p5;2.2;Angstroms;1.45;;;;;;Watts/meter/degree Kelvin;1.7;Kelvin;575;Angstroms;1.47;kilojoules/mole;30;kilojoules/mole;12;
Gold;196.9665;79;3, 1;Kelvin;3130;Au;grams/cubic centimeter;19.3;[Xe] 4f14 5d10 6s1;2.54;Angstroms;1.46;cubic centimeters/mole;10.2;Joules/gram/degree Kelvin;0.128;9.225;Watts/meter/degree Kelvin;317;Kelvin;1337.58;Angstroms;1.34;kilojoules/mole;324.43;kilojoules/mole;12.36;SOLID
Boron;10.811;5;3;Kelvin;4275;B;grams/cubic centimeter;2.34;1s2 2s2 p1;2.04;Angstroms;0.98;cubic centimeters/mole;4.6;Joules/gram/degree Kelvin;1.026;8.298;Watts/meter/degree Kelvin;27;Kelvin;2365;Angstroms;0.82;kilojoules/mole;507.8;kilojoules/mole;22.6;
Barium;137.33;56;2;Kelvin;2078;Ba;grams/cubic centimeter;3.59;[Xe] 6s2;0.89;Angstroms;2.22;cubic centimeters/mole;39;Joules/gram/degree Kelvin;0.204;5.212;Watts/meter/degree Kelvin;18.4;Kelvin;1002;Angstroms;1.98;kilojoules/mole;140.2;kilojoules/mole;8.01;
